tx_hash,defect_family
0x42c55a528264c668a7f245f8823d9d35b0ca97629dfeee5650916636aa4b9858,reward_distribution_TEND_WING
0xef87469991124c1acc8d53bd36f44d474285c15de1b9c632e18f7bf32fe1d39e,reward_distribution_TEND_WING
0xc65d12422f61837856467a5ee2acb98b8c41d971eed1c62b358da8292bcaf548,reward_distribution_TEND_WING
0x8e4601978d2325f335141a6989bfb779fa3d9dfb15bc41fa1a8b10b284495ed4,reward_distribution_TEND_WING
0xea5ae9cab573868c04d437d5668c9c2d8ae9c47280cf002174ac8f88dafb438a,reward_distribution_TEND_WING
0x71d0fc70e25c48dab14221d33d8ff644480ae4523cb90a4e1bafafa30f9b367b,reward_distribution_TEND_WING
0x35b1506f125a4a1d6c79314dd02441eca36e08273033de8a7f94ed190409f1d9,reward_distribution_TEND_WING
0x2ce73cd9f472021e5ee2a5fc06f3d6f2998f4663cd4108afeba5c5ee6cca53b7,reward_distribution_TEND_WING
0xfe1a8633a95ce7d136bcef9b61f28757d41962846e26c29979fab3f17133494a,reward_distribution_TEND_WING
0x3de6deb0f506390184dc14ccf3f744fd97bdb454ea9d81ff49d505d320b01fef,reward_distribution_TEND_WING
0x334ca64b31ee3be3faa79e23942a14d5d0437890136daa7bfbcecaaef3e5de5c,reward_distribution_TEND_WING
0xad296dfa7f7d6294b7f298f615b8aa8ae113257aa4f1880a45cea00605db1b2c,reward_distribution_TEND_WING
0x61de6022c1f975913a2ef930ab2ae8aa6c19873253ff2d063a52500555b0af76,reward_distribution_TEND_WING
0x11745d85246608f7b0ad66ba07ac569edee1425393422367690301ab96b7fbae,reward_distribution_TEND_WING
0x98a123d4935c8b9600be998257a1d36b1c1853372fa9597205c51fceb9a58997,reward_distribution_TEND_WING
0xb2a29f0f1b52da95507c70ca6963d4219ebc5b41859f477938983ec24ddc2a8f,reward_distribution_TEND_WING
0xc541ce4a77862c11dbffdde2ef94b620a12eb4515b0a47609608beac54999c07,reward_distribution_TEND_WING
0x4e3bf0cf3ada22e86ed0bb5f698c0f29a87ead407bac55eba6357192be89784c,reward_distribution_TEND_WING
0x4df285a0f2c76a72aa07f510189f8b931e12f5dbe1cea76221eef0320f9a1352,reward_distribution_TEND_WING
0x9da62226b9ae2c62e07edb595dc1e550d4a0391d4f4094ae141f98169e8ed465,reward_distribution_TEND_WING
0x6fd38cb2dd63c6b4874d0a664d500d0e0bb52e98414bd424f05bd219f43d8790,reward_distribution_TEND_WING
